,latitude,longitude,number_intersections
0,29.78944618,-95.48382236,2
1,29.75058815,-95.41985262,7
2,29.81059021,-95.3485405,2
3,29.78691732,-95.29881758,2
4,29.60490333,-95.36468177,2
5,29.78559074,-95.29626554,2
6,29.78427296,-95.47627544,11
7,29.60255492,-95.31785002,2
8,29.72848345,-95.55081077,6
9,29.80540361,-95.40568451,3
10,29.79941423,-95.32408714,2
11,29.81383361,-95.39160561,5
12,29.69674987,-95.52903161,2
13,29.60353717,-95.3709215,2
14,29.79814016,-95.48404953,2
15,29.74474547,-95.43994788,3
16,29.736462699999997,-95.25190997,2
17,29.7782582,-95.37594251,2
18,29.77748545,-95.42976837,8
19,29.78527767,-95.34326255,3
20,29.68978135,-95.50920041,6
21,29.72229055,-95.41815465,3
22,29.61022413,-95.36765196,2
23,29.81040008,-95.39459038,2
24,29.73975282,-95.24507463,2
25,29.74443774,-95.25419699999999,2
26,29.77930118,-95.34288653,3
27,29.70841502,-95.52161028,6
28,29.72783024,-95.54219577,5
29,29.68475167,-95.27001339,2
30,29.60499215,-95.35232318,2
31,29.73428369,-95.24015647,3
32,29.70743707,-95.52034163,10
33,29.71577082,-95.25717727,2
34,29.71464754,-95.52444029,2
35,29.71554906,-95.27974609999998,13
36,29.74096022,-95.25601614,2
37,29.62095989,-95.33417966,2
38,29.73459122,-95.23530508,2
39,29.80669271,-95.40369251,2
40,29.74180969,-95.24185074,2
41,29.80889506,-95.40943549,4
42,29.71526046,-95.26962205,2
43,29.77881265,-95.34184935,3
44,29.70344522,-95.41102048,4
45,29.60722991,-95.37422204,2
46,29.71158474,-95.41006949,2
47,29.72457353,-95.55397754,2
48,29.70787732,-95.41226044,6
49,29.758756899999995,-95.26531716,2
50,29.81060878,-95.39268249,2
51,29.800401,-95.47652754,6
52,29.80203758,-95.47276957,6
53,29.61229281,-95.37687855,2
54,29.80819072,-95.38755187,2
55,29.723579700000002,-95.5452656,6
56,29.70712465,-95.51845325,6
57,29.60762256,-95.3165408,2
58,29.78703199,-95.30658050000001,2
59,29.72297925,-95.41006911,9
60,29.79158823,-95.48175138,2
61,29.79025326,-95.4701762,3
62,29.70086714,-95.27404073,2
63,29.71792456,-95.27835233,8
64,29.72049283,-95.52923047,3
65,29.761455100000003,-95.40887233,10
66,29.71823395,-95.26604076,2
67,29.71995938,-95.25991274,2
68,29.73689862,-95.25736297,2
69,29.61454881,-95.34094011,2
70,29.71102172,-95.41341187,2
71,29.79723995,-95.46855806,4
72,29.81120658,-95.39604135,2
73,29.620901399999997,-95.31594549,2
74,29.74603861,-95.26474462,2
75,29.60886268,-95.37105807,2
76,29.71463084,-95.52562753,2
77,29.80808951,-95.39499152,2
78,29.70280428,-95.27818363,4
79,29.781541999999998,-95.34469253,2
80,29.759180199999996,-95.25584647,2
81,29.71785218,-95.53132754,3
82,29.60138966,-95.36679000000001,2
83,29.60631788,-95.35476835,2
84,29.76825667,-95.37942650000001,2
85,29.60103034,-95.30712999,2
86,29.75159031,-95.44571459999999,2
87,29.70973658,-95.51694483,2
88,29.780149199999997,-95.30245299,2
89,29.79319865,-95.32984544,10
90,29.7733402,-95.37588251,2
91,29.777446299999998,-95.38296122,12
92,29.76978742,-95.39729121,11
93,29.80820865,-95.38200113,6
94,29.78079167,-95.34394893,2
95,29.79881163,-95.32951964,6
96,29.69016547,-95.50214066,6
97,29.78025166,-95.34754964,2
98,29.719220299999996,-95.26144829,2
99,29.60428436,-95.29972112,2
100,29.7502482,-95.25561147,2
101,29.77189516,-95.43168333,2
102,29.79951237,-95.34034478,8
103,29.69837746,-95.50336162,2
104,29.69916007,-95.52581571,2
105,29.60101408,-95.30971011,2
106,29.70794417,-95.40968364,6
107,29.72219881,-95.55521018,5
108,29.78153704,-95.29194656,2
109,29.71626687,-95.27697269,10
110,29.75768959,-95.41559905,2
111,29.69830447,-95.49806485,2
112,29.79536138,-95.33821687,8
113,29.793721,-95.34436553,3
114,29.60267746,-95.36807501,2
115,29.77146342,-95.38966351,14
116,29.72066338,-95.40635945,2
117,29.59991323,-95.35906442,2
118,29.70937788,-95.40436252,10
119,29.60057152,-95.33443426,2
120,29.72516283,-95.54220563,2
121,29.78359046,-95.30244352,2
122,29.74869943,-95.42421089,4
123,29.80182658,-95.34078767,12
124,29.71162995,-95.52202312,6
125,29.7679772,-95.38274401,4
126,29.60155197,-95.37707816,2
127,29.80887338,-95.40339869,2
128,29.71614011,-95.52828362,3
129,29.7658632,-95.37714251,2
130,29.61672115,-95.33754225,2
131,29.61622568,-95.31190495,2
132,29.71620996,-95.27962427,12
133,29.74093639,-95.2590606,2
134,29.76738419,-95.42040744,2
135,29.70387012,-95.51391995,12
136,29.7677532,-95.42180102,2
137,29.715053,-95.41187254,5
138,29.78676175,-95.2949564,3
139,29.720412899999996,-95.28152019,2
140,29.72019782,-95.28100382,2
141,29.80438006,-95.40565651,4
142,29.75310895,-95.41796497,6
143,29.80844168,-95.34750348,2
144,29.80867224,-95.40373124,2
145,29.69496321,-95.27772608,2
146,29.70405285,-95.53136825,9
147,29.73683256,-95.24202751,2
148,29.73249266,-95.233536,3
149,29.80843236,-95.40625907,2
150,29.78538868,-95.3419306,9
151,29.73912985,-95.26317574,5
152,29.80112197,-95.33934285,11
153,29.76862019,-95.41058501,5
154,29.70150797,-95.49712845,2
155,29.607941200000003,-95.37419991,2
156,29.69438856,-95.26399298,3
157,29.71334409,-95.41112265,3
158,29.71860579,-95.25726634,2
159,29.74869156,-95.43653805,2
160,29.69383511,-95.53562009999999,4
161,29.80028907,-95.32742099,6
162,29.71844628,-95.26352033,2
163,29.72008608,-95.40391517,2
164,29.69253013,-95.27352415,2
165,29.77442262,-95.37897195,6
166,29.750718100000004,-95.43736443,2
167,29.80815079,-95.39098149,2
168,29.78290232,-95.30397555,2
169,29.7452725,-95.23793819,2
170,29.73355544,-95.23409895,3
171,29.60774973,-95.34268783,2
172,29.73319618,-95.24204033,5
173,29.73603786,-95.24687082,2
174,29.78724848,-95.34328453,2
175,29.72310199,-95.41815161,7
176,29.7531973,-95.43879006,2
177,29.70363866,-95.49328524,6
178,29.61224925,-95.36615076,2
179,29.742305699999996,-95.24026747,2
180,29.77292473,-95.38004996,7
181,29.70164469,-95.41410201,2
182,29.71707683,-95.53503859,2
183,29.70550006,-95.27402208,2
184,29.81206084,-95.40237053,3
185,29.78785355,-95.29174505,6
186,29.81316327,-95.38850451,3
187,29.74483452,-95.44191215,3
188,29.60539835,-95.36126562,2
189,29.60065069,-95.36623018,3
190,29.72206577,-95.4185353,3
191,29.737474100000004,-95.25771006,2
192,29.786341600000004,-95.34277239,2
193,29.70282447,-95.49273147,5
194,29.70621192,-95.41222355,6
195,29.60732104,-95.31144519,2
196,29.71728232,-95.52866899,3
197,29.71287324,-95.27609088,10
198,29.80090052,-95.34631757,2
199,29.7586885,-95.23356506,2
200,29.69697244,-95.50301858,2
201,29.76859862,-95.4201724,2
202,29.78940468,-95.48306071,2
203,29.74826135,-95.42288918,2
204,29.73640577,-95.25863577,2
205,29.80688668,-95.40779714,3
206,29.80283315,-95.48034955,2
207,29.72897848,-95.5489896,6
208,29.78865589,-95.46975006,6
209,29.78355983,-95.29410872,2
210,29.72037666,-95.28326473,2
211,29.73898543,-95.2475598,2
212,29.743803399999997,-95.44577737,3
213,29.8004226,-95.48072106,2
214,29.72022675,-95.27972665,4
215,29.69309112,-95.50185199,2
216,29.68699266,-95.50835413,6
217,29.69908043,-95.49705433,2
218,29.77618881,-95.39441027,6
219,29.74510449,-95.25521362,2
220,29.80507752,-95.3914355,2
221,29.80713247,-95.39594983,2
222,29.69475242,-95.27307182,2
223,29.59819752,-95.37994116,2
224,29.74843105,-95.43857058,2
225,29.74735416,-95.43492722,2
226,29.60604575,-95.31782611,2
227,29.77289855,-95.38797369,12
228,29.61653789,-95.33103234,2
229,29.71236791,-95.40619454,3
230,29.72855518,-95.54729705,6
231,29.78656971,-95.29906499,2
232,29.71150723,-95.51360426,2
233,29.80894445,-95.39319251,2
234,29.80893025,-95.39429749,2
235,29.76777239,-95.39222321,9
236,29.73604654,-95.24816405,2
237,29.71642427,-95.28318399999999,4
238,29.73604463,-95.24871014,2
239,29.79748232,-95.3389132,2
240,29.75042326,-95.42314345,2
241,29.60589394,-95.36993144,2
242,29.79477965,-95.47714622,6
243,29.80203762,-95.47105511,3
244,29.7732837,-95.38145801,7
245,29.75903528,-95.41053295,9
246,29.75143377,-95.43060754,2
247,29.77222868,-95.37586384,2
248,29.72082923,-95.40833788,3
249,29.60591715,-95.35967099999999,2
250,29.69727845,-95.52687409999999,2
251,29.80893868,-95.40676121,2
252,29.70523341,-95.53799798,6
253,29.74344168,-95.26499063,2
254,29.78051742,-95.34840759999999,2
255,29.70382679,-95.49303256,6
256,29.72409674,-95.54873223,6
257,29.69516018,-95.50021304,2
258,29.78843129,-95.47127447,2
259,29.71753169,-95.53515904,3
260,29.700356099999997,-95.49582978,2
261,29.81145716,-95.3916415,5
262,29.60020722,-95.36795889,4
263,29.74133064,-95.24543115,2
264,29.79572084,-95.33501455,2
265,29.72739068,-95.54046505,6
266,29.71793205,-95.52660246,3
267,29.765036300000002,-95.26550685,2
268,29.76782001,-95.37745633,2
269,29.69431799,-95.52588825,6
270,29.80777767,-95.38489979,2
271,29.8052842,-95.39109735,2
272,29.69911597,-95.27535076,2
273,29.69867701,-95.53789413,4
274,29.71850258,-95.41401738,3
275,29.72054208,-95.26479676,2
276,29.693546299999998,-95.49548814,8
277,29.61216964,-95.34692059,2
278,29.72653584,-95.55400209,4
279,29.69579188,-95.27414961,2
280,29.803711699999997,-95.39921751,10
281,29.70767141,-95.25736935,2
282,29.78862715,-95.47026676,6
283,29.69839274,-95.49500522,2
284,29.80961915,-95.39126759999999,2
285,29.7162322,-95.52156832,6
286,29.60158001,-95.29889275,2
287,29.71007055,-95.52132626,6
288,29.73430681,-95.25905365,2
289,29.75107328,-95.4184291,7
290,29.59832334,-95.38316932,2
291,29.805488699999998,-95.39069151,3
292,29.762761199999996,-95.42440002,7
293,29.73466553,-95.26567745,2
294,29.78055437,-95.34468456,2
295,29.80779315,-95.38199262,6
296,29.69691206,-95.26636384,3
297,29.60124718,-95.29992149,2
298,29.74218042,-95.26353253,2
299,29.69912936,-95.52498301,2
300,29.72754368,-95.55286805,2
301,29.78440968,-95.34037539,9
302,29.68942879,-95.53304785,8
303,29.7372522,-95.25878355,2
304,29.77292258,-95.38059545,7
305,29.79375966,-95.3287177,6
306,29.72558203,-95.41079324,6
307,29.78352307,-95.29669670000001,2
308,29.74340775,-95.23387613,4
309,29.69997363,-95.53614658,2
310,29.80622021,-95.40147551,4
311,29.74074136,-95.24634367,2
312,29.68526209,-95.27425494,3
313,29.73700759,-95.25933887,2
314,29.81261772,-95.40290458,2
315,29.6088083,-95.37480691,2
316,29.78427545,-95.30398657,2
317,29.59955031,-95.35970613,2
318,29.80490751,-95.40443540000001,4
319,29.80536179,-95.38353457,6
320,29.74295317,-95.43786850000001,2
321,29.79140421,-95.340657,8
322,29.74286662,-95.25202244,2
323,29.75370268,-95.42023989,6
324,29.74560935,-95.43875234,2
325,29.6998376,-95.52801725,2
326,29.60778399,-95.35191135,2
327,29.72328972,-95.40341606,2
328,29.72513376,-95.54061401,3
329,29.81391701,-95.38634837,2
330,29.78560926,-95.29520809999998,2
331,29.80020327,-95.33499662,2
332,29.74257922,-95.41878661,10
333,29.60152687,-95.37772726,2
334,29.74895109,-95.4229392,2
335,29.61656394,-95.33676882,2
336,29.715071999999996,-95.41568888,5
337,29.80312274,-95.3414325,12
338,29.71581677,-95.4166642,5
339,29.70622962,-95.26502252,2
340,29.7751126,-95.38061346,10
341,29.79413562,-95.33841046,8
342,29.80813825,-95.39208349,2
343,29.78903739,-95.34110717,2
344,29.69920176,-95.49299108,2
345,29.61407851,-95.38363294,4
346,29.79781057,-95.47976595,2
347,29.69573741,-95.27747773,2
348,29.71770537,-95.41125874,4
349,29.80693867,-95.3423036,3
350,29.78485412,-95.30114171,2
351,29.79752864,-95.33127457,2
352,29.73978179,-95.24704028,2
353,29.61557572,-95.31216314,2
354,29.69540566,-95.49702028,4
355,29.81097965,-95.40678752,2
356,29.72575472,-95.41279884,5
357,29.60531554,-95.36785497,2
358,29.7787781,-95.43898209,2
359,29.71906276,-95.41574188,2
360,29.70327439,-95.52194899,6
361,29.61652361,-95.3283925,2
362,29.81152954,-95.38589732,2
363,29.60222316,-95.35135047,2
364,29.73546151,-95.25614991,2
365,29.81246933,-95.41170639,7
366,29.8072989,-95.39206353,2
367,29.61219174,-95.35259752,2
368,29.600046999999996,-95.35358456,6
369,29.7594419,-95.40985607,14
370,29.74212764,-95.43797394,2
371,29.74427471,-95.24348377,2
372,29.70023942,-95.41227963,5
373,29.73925583,-95.24023441,2
374,29.76765397,-95.38134392,4
375,29.773238199999998,-95.45572646,14
376,29.692957,-95.49709576,4
377,29.79688821,-95.32740899,2
378,29.765337199999998,-95.40974544,4
379,29.80389854,-95.40390551,6
380,29.79781254,-95.48378873,2
381,29.61713657,-95.31394335,2
382,29.70138285,-95.53691171,2
