,Latitude,Longitude
0,29.7163768,-95.4020050
1,29.7170808,-95.4002260
2,29.7191348,-95.4002400
3,29.7313653,-95.4744573
4,29.6780838,-95.4768001
5,29.6807403,-95.4621928
6,29.6805096,-95.4621623
7,29.6892644,-95.4674577
8,29.7619390,-95.4062310
9,29.7618777,-95.4084385
10,29.7614563,-95.4083473
11,29.7654350,-95.4573010
12,29.7655670,-95.4403770
13,29.7611370,-95.4213200
14,29.7639921,-95.4303083
15,29.7622160,-95.4087910
16,29.7642895,-95.4301673
17,29.6891780,-95.4757710
18,29.6778040,-95.4771580
19,29.6786580,-95.4736760
20,29.6797540,-95.4674780
21,29.6793690,-95.4696000
22,29.6794020,-95.4681508
23,29.6761078,-95.4830519
24,29.6822258,-95.4594632
25,29.6584910,-95.4641550
26,29.6828360,-95.4582270
27,29.7611900,-95.4187560
28,29.7636320,-95.4259080
29,29.7629990,-95.4244110
30,29.6773667,-95.4933736
31,29.6871630,-95.4402490
32,29.7181050,-95.4471580
33,29.7148450,-95.4535440
34,29.7164360,-95.4509180
35,29.7314741,-95.4685285
36,29.7401560,-95.4668110
37,29.7339290,-95.4185800
38,29.7341710,-95.4243300
39,29.7340870,-95.4153470
40,29.7341150,-95.4132980
41,29.7342930,-95.4125880
42,29.6878040,-95.4926260
43,29.6878880,-95.4923330
44,29.6790360,-95.4930600
45,29.6786610,-95.4926260
46,29.6774140,-95.4933650
47,29.7624099,-95.4093638
48,29.6795890,-95.4764190
49,29.6916756,-95.4679139
50,29.7426180,-95.4136320
51,29.7467983,-95.4109356
52,29.6972959,-95.4237418
53,29.6907392,-95.4355683
54,29.6978890,-95.4120960
55,29.6935095,-95.4676583
56,29.7173696,-95.3982856
57,29.7168997,-95.4006820
58,29.7416310,-95.4419610
59,29.7343690,-95.4068750
60,29.7221400,-95.4397120
61,29.7151879,-95.4048662
62,29.6990500,-95.4844800
63,29.6993060,-95.4847240
64,29.6994190,-95.4843190
65,29.7038820,-95.4847810
66,29.7060970,-95.4425140
67,29.7567072,-95.3678057
68,29.7572040,-95.3670309
69,29.7469364,-95.3668017
70,29.7484748,-95.3693666
71,29.7490051,-95.3702291
72,29.7495764,-95.3711965
73,29.7500561,-95.3719824
74,29.7522196,-95.3713588
75,29.7529810,-95.3707432
76,29.7529770,-95.3707373
77,29.7537288,-95.3701589
78,29.7544917,-95.3695487
79,29.7552296,-95.3689674
80,29.7482430,-95.4187120
81,29.6854061,-95.4496975
82,29.6870477,-95.4466988
83,29.6886916,-95.4443304
84,29.7251600,-95.4184750
85,29.6890384,-95.4651304
86,29.6890710,-95.4619735
87,29.6412140,-95.3558250
88,29.6338790,-95.3556130
89,29.6913300,-95.4399160
90,29.6917870,-95.4397690
91,29.6786450,-95.4982670
92,29.6775912,-95.4787072
93,29.7247421,-95.3394785
94,29.7266006,-95.3445366
95,29.7249091,-95.3415438
